OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
4673128,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 00:00:00+00,Restaurant,16,-78.64564339,35.78023101,M,
4673129,04092014098,Assaggio's Pizzeria Ristorante,7417 Sunset Lake RD ,,FUQUAY VARINA,NC,27526,(919) 557-9505,2004/07/19 00:00:00+00,Restaurant,53,-78.77604193,35.59548914,M,
4673130,04092013461,Pine Hollow Golf Club Food Service,3300 GARNER RD ,,CLAYTON,NC,27520-9306,(919) 553-4554,2001/11/30 00:00:00+00,Restaurant,71,-78.50771752,35.67976452,M,
4673131,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 00:00:00+00,Restaurant,80,-78.78219418,35.76380551,M,
4673132,04092110110,Southeast Raleigh H.S.Cafeteria,2600 ROCK QUARRY RD ,,RALEIGH,NC,27610-5102,(919) 856-2800 ext. 24980,1997/07/28 00:00:00+00,Public School Lunchrooms,105,-78.60409689,35.74535559,M,
4673133,04092010037,AUBREY & PEEDIE'S GRILL,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 00:00:00+00,Restaurant,149,-78.36945556,35.78246291,M,
4673134,04092010070,Bojangles # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 00:00:00+00,Restaurant,153,-78.62298982,35.78024775,M,
4673135,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 00:00:00+00,Restaurant,173,-78.64633472,35.78312867,M,
4673136,04092010274,Franks Pizza Restaurant,2030 NEW BERN AVE ,,RALEIGH,NC,27610-2429,(919) 231-8990,1991/04/25 00:00:00+00,Restaurant,174,-78.60562466,35.77870975,M,
4673137,04092010548,William Peace University Cafeteria,15 E Peace St ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 00:00:00+00,Restaurant,202,-78.63745155,35.78928458,M,
4673138,04092010065,Biscuitville,2426 Wake Forest Rd,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 00:00:00+00,Restaurant,211,-78.62569015,35.81542941,M,
4673139,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 00:00:00+00,Restaurant,217,-78.50484966,35.98936312,M,
4673140,04092010189,North Raleigh Courtyard By Marriott,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991/04/29 00:00:00+00,Restaurant,222,-78.62297698,35.82408017,M,
4673141,04092010658,Shortys,214 S White ST ,,WAKE FOREST,NC,27587,(919) 556-8026,1991/04/29 00:00:00+00,Restaurant,247,-78.51012825,35.9776018,M,
4673142,04092020121,Han-Dee Hugo's #47,4120 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 881-9246,1991/04/29 00:00:00+00,Food Stand,276,-78.67250612,35.83777708,M,
4673143,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 00:00:00+00,Food Stand,288,-78.62502323,35.80726583,M,
4673144,04092010661,Side Street Restaurant,225 N Bloodworth St ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 00:00:00+00,Restaurant,292,-78.63331248,35.78351542,M,
4673145,04092010795,Watkins Grill,1625 Wake Forest Rd,,RALEIGH,NC,27604-1332,(919) 834-0467,1991/05/01 00:00:00+00,Restaurant,305,-78.62518839,35.80177809,M,
4673146,04092090004,Wendell Senior Nutrition Site,323 LAKE DR ,,WENDELL,NC,27591-9492,(919) 365-4684,1991/05/01 00:00:00+00,Elderly Nutrition Sites (catered),308,-78.36549422,35.77892574,M,
4673147,04092012113,China Chef,930 US 64 HWY W ,,APEX,NC,27523,(919) 468-8982,1997/08/08 00:00:00+00,Restaurant,313,-78.820808,35.74557219,M,
4673148,04092110109,Olive Chapel Elementary Cafeteria,1751 OLIVE CHAPEL RD ,,APEX,NC,27502-4862,(919) 387-4449,1997/08/14 00:00:00+00,Public School Lunchrooms,316,-78.89411789,35.73463652,M,
4673149,04092012198,Windsor Point Restaurant,1221 BROAD ST,,FUQUAY VARINA,NC,27526-3602,(919) 552-4580,1998/02/27 00:00:00+00,Restaurant,330,-78.8037686,35.60086921,M,
4673150,04092012200,N.Y.Pizza,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 00:00:00+00,Restaurant,332,-78.76155635,35.7455991,M,
4673151,04092020037,Circle K #8524,3948 NEW BERN AVE ,,RALEIGH,NC,27610-1333,(919) 231-8060,1991/05/01 00:00:00+00,Food Stand,351,-78.56881441,35.79852716,M,
4673152,04092110017,Brassfield Road Elem. Cafeteria,2001 BRASSFIELD RD ,,RALEIGH,NC,27614-9453,(919) 870-4080 ext. 24076,1991/05/01 00:00:00+00,Public School Lunchrooms,385,-78.63034222,35.93350013,M,
4673153,04092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 00:00:00+00,Restaurant,422,-78.62162989,35.86964481,M,
4673154,04092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,NC,27615-2930,(919) 870-4120 ext. 21182,1991/09/17 00:00:00+00,Public School Lunchrooms,438,-78.65713488,35.89158773,M,
4673155,04092110085,Lynn Road Elem. Cafeteria,1601 LYNN RD ,,RALEIGH,NC,27612-6820,(919) 870-4074 ext. 20860,1991/09/17 00:00:00+00,Public School Lunchrooms,439,-78.6678688,35.87032224,M,
4673156,04092110020,Joyner Elementary Cafeteria,2300 LOWDEN ST ,,RALEIGH,NC,27608-0707,(919) 856-7650 ext. 21606,1991/09/17 00:00:00+00,Public School Lunchrooms,452,-78.63298548,35.81521458,M,
